INFO:root: Niter: 112	date: 2017-02-10 11:23:31	dsname: Test mini sensor	temp_f: 74.975 (2017-02-10 11:23:31; pi-st.py:115)
INFO:root: Niter: 111	date: 2017-02-10 11:23:47	dsname: Test mini sensor	temp_f: 74.86160000000001 (2017-02-10 11:23:47; pi-st.py:115)
INFO:root: Niter: 110	date: 2017-02-10 11:24:03	dsname: Test waterproof sensor	temp_f: 74.6366 (2017-02-10 11:24:03; pi-st.py:115)
INFO:root: Niter: 110	date: 2017-02-10 11:24:03	dsname: Test mini sensor	temp_f: 74.75 (2017-02-10 11:24:03; pi-st.py:115)
INFO:root: Niter: 109	date: 2017-02-10 11:24:19	dsname: Test mini sensor	temp_f: 74.86160000000001 (2017-02-10 11:24:19; pi-st.py:115)
INFO:root: Niter: 108	date: 2017-02-10 11:24:34	dsname: Test waterproof sensor	temp_f: 74.525 (2017-02-10 11:24:34; pi-st.py:115)
INFO:root: Niter: 108	date: 2017-02-10 11:24:35	dsname: Test mini sensor	temp_f: 74.75 (2017-02-10 11:24:35; pi-st.py:115)
INFO:root: Niter: 107	date: 2017-02-10 11:24:51	dsname: Test waterproof sensor	temp_f: 74.4116 (2017-02-10 11:24:51; pi-st.py:115)
INFO:root: Niter: 107	date: 2017-02-10 11:24:52	dsname: Test mini sensor	temp_f: 74.6366 (2017-02-10 11:24:52; pi-st.py:115)
INFO:root: Niter: 104	date: 2017-02-10 11:25:37	dsname: Test waterproof sensor	temp_f: 74.3 (2017-02-10 11:25:37; pi-st.py:115)
INFO:root: Niter: 102	date: 2017-02-10 11:26:08	dsname: Test waterproof sensor	temp_f: 74.1866 (2017-02-10 11:26:08; pi-st.py:115)
INFO:root: Niter: 102	date: 2017-02-10 11:26:09	dsname: Test mini sensor	temp_f: 74.525 (2017-02-10 11:26:09; pi-st.py:115)
INFO:root: Niter: 101	date: 2017-02-10 11:26:25	dsname: Test waterproof sensor	temp_f: 74.075 (2017-02-10 11:26:25; pi-st.py:115)
INFO:root: Niter: 101	date: 2017-02-10 11:26:26	dsname: Test mini sensor	temp_f: 74.4116 (2017-02-10 11:26:26; pi-st.py:115)
INFO:root: Niter: 100	date: 2017-02-10 11:26:41	dsname: Test waterproof sensor	temp_f: 73.9616 (2017-02-10 11:26:41; pi-st.py:115)
INFO:root: Niter: 99	date: 2017-02-10 11:26:57	dsname: Test waterproof sensor	temp_f: 74.075 (2017-02-10 11:26:57; pi-st.py:115)
INFO:root: Niter: 99	date: 2017-02-10 11:26:58	dsname: Test mini sensor	temp_f: 74.3 (2017-02-10 11:26:58; pi-st.py:115)
INFO:root: Niter: 98	date: 2017-02-10 11:27:13	dsname: Test waterproof sensor	temp_f: 73.9616 (2017-02-10 11:27:13; pi-st.py:115)
INFO:root: Niter: 94	date: 2017-02-10 11:28:15	dsname: Test waterproof sensor	temp_f: 73.85 (2017-02-10 11:28:15; pi-st.py:115)
INFO:root: Niter: 94	date: 2017-02-10 11:28:15	dsname: Test mini sensor	temp_f: 74.1866 (2017-02-10 11:28:15; pi-st.py:115)
INFO:root: Niter: 91	date: 2017-02-10 11:29:01	dsname: Test waterproof sensor	temp_f: 73.73660000000001 (2017-02-10 11:29:01; pi-st.py:115)
INFO:root: Niter: 91	date: 2017-02-10 11:29:02	dsname: Test mini sensor	temp_f: 74.075 (2017-02-10 11:29:02; pi-st.py:115)
INFO:root: Niter: 89	date: 2017-02-10 11:29:33	dsname: Test waterproof sensor	temp_f: 73.625 (2017-02-10 11:29:33; pi-st.py:115)
INFO:root: Niter: 89	date: 2017-02-10 11:29:33	dsname: Test mini sensor	temp_f: 73.9616 (2017-02-10 11:29:33; pi-st.py:115)
INFO:root: Niter: 88	date: 2017-02-10 11:29:49	dsname: Test mini sensor	temp_f: 74.075 (2017-02-10 11:29:49; pi-st.py:115)
INFO:root: Niter: 87	date: 2017-02-10 11:30:04	dsname: Test waterproof sensor	temp_f: 73.5116 (2017-02-10 11:30:04; pi-st.py:115)
INFO:root: Niter: 86	date: 2017-02-10 11:30:20	dsname: Test mini sensor	temp_f: 73.9616 (2017-02-10 11:30:20; pi-st.py:115)
INFO:root: Niter: 85	date: 2017-02-10 11:30:36	dsname: Test mini sensor	temp_f: 74.075 (2017-02-10 11:30:36; pi-st.py:115)
INFO:root: Niter: 83	date: 2017-02-10 11:31:06	dsname: Test waterproof sensor	temp_f: 73.4 (2017-02-10 11:31:06; pi-st.py:115)
INFO:root: Niter: 83	date: 2017-02-10 11:31:07	dsname: Test mini sensor	temp_f: 73.9616 (2017-02-10 11:31:07; pi-st.py:115)
INFO:root: Niter: 81	date: 2017-02-10 11:31:38	dsname: Test mini sensor	temp_f: 73.85 (2017-02-10 11:31:38; pi-st.py:115)
INFO:root: Niter: 80	date: 2017-02-10 11:31:53	dsname: Test waterproof sensor	temp_f: 73.2866 (2017-02-10 11:31:53; pi-st.py:115)
INFO:root: Niter: 78	date: 2017-02-10 11:32:24	dsname: Test waterproof sensor	temp_f: 73.175 (2017-02-10 11:32:24; pi-st.py:115)
INFO:root: Niter: 77	date: 2017-02-10 11:32:40	dsname: Test mini sensor	temp_f: 73.9616 (2017-02-10 11:32:40; pi-st.py:115)
INFO:root: Niter: 76	date: 2017-02-10 11:32:56	dsname: Test mini sensor	temp_f: 73.85 (2017-02-10 11:32:56; pi-st.py:115)
INFO:root: Niter: 75	date: 2017-02-10 11:33:11	dsname: Test waterproof sensor	temp_f: 73.0616 (2017-02-10 11:33:11; pi-st.py:115)
INFO:root: Niter: 74	date: 2017-02-10 11:33:27	dsname: Test mini sensor	temp_f: 73.9616 (2017-02-10 11:33:27; pi-st.py:115)
INFO:root: Niter: 72	date: 2017-02-10 11:33:58	dsname: Test waterproof sensor	temp_f: 73.175 (2017-02-10 11:33:58; pi-st.py:115)
INFO:root: Niter: 72	date: 2017-02-10 11:33:58	dsname: Test mini sensor	temp_f: 74.075 (2017-02-10 11:33:58; pi-st.py:115)
INFO:root: Niter: 70	date: 2017-02-10 11:34:29	dsname: Test waterproof sensor	temp_f: 73.2866 (2017-02-10 11:34:29; pi-st.py:115)
INFO:root: Niter: 70	date: 2017-02-10 11:34:30	dsname: Test mini sensor	temp_f: 74.1866 (2017-02-10 11:34:30; pi-st.py:115)
INFO:root: Niter: 68	date: 2017-02-10 11:35:00	dsname: Test waterproof sensor	temp_f: 73.4 (2017-02-10 11:35:00; pi-st.py:115)
INFO:root: Niter: 67	date: 2017-02-10 11:35:16	dsname: Test waterproof sensor	temp_f: 73.5116 (2017-02-10 11:35:16; pi-st.py:115)
INFO:root: Niter: 67	date: 2017-02-10 11:35:17	dsname: Test mini sensor	temp_f: 74.3 (2017-02-10 11:35:17; pi-st.py:115)
